,Object_ID,Provinsi,Tanggal,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId
0,4279,Jawa Barat,1593648000000,3344,64,1665,43,177,0,1502,5.29306,49.79067,4279,7990
1,4209,Jawa Barat,1593734400000,3374,28,1668,3,177,0,1529,5.24600,49.43687,4209,8095
2,4244,Jawa Barat,1593820800000,3463,88,1685,17,177,0,1601,5.11118,48.65723,4244,8130
3,4279,Jawa Barat,1593907200000,3574,106,1702,17,177,0,1695,4.95243,47.62171,4279,8165
4,4314,Jawa Barat,1593993600000,3700,126,1718,16,178,1,1804,4.81081,46.43243,4314,8200
5,4349,Jawa Barat,1594080000000,3779,79,1763,45,180,2,1836,4.76316,46.65255,4349,8270
6,4384,Jawa Barat,1594166400000,3878,96,1784,21,182,2,1912,4.69314,46.00309,4384,8305
7,4419,Jawa Barat,1594252800000,4843,962,1811,27,186,4,2846,3.84059,37.39418,4419,8340
8,4454,Jawa Barat,1594339200000,4951,105,1839,28,186,0,2926,3.75682,37.14401,4454,8375
9,4489,Jawa Barat,1594425600000,5027,73,1867,28,186,0,2974,3.70002,37.13945,4489,8410
10,4524,Jawa Barat,1594512000000,5077,50,1877,10,186,0,3014,3.66358,36.97065,4524,8445
11,4559,Jawa Barat,1594598400000,5160,83,1896,19,186,0,3078,3.60465,36.74419,4559,8589
12,4594,Jawa Barat,1594684800000,5235,74,1924,28,186,0,3125,3.55301,36.75263,4594,8624
13,4629,Jawa Barat,1594771200000,5310,75,2064,140,187,1,3059,3.52166,38.87006,4629,8659
14,4664,Jawa Barat,1594857600000,5350,40,2102,38,187,0,3061,3.49533,39.28972,4664,8694
15,4699,Jawa Barat,1594944000000,5402,52,2143,41,188,1,3071,3.48019,39.67049,4699,8729
16,4909,Jawa Barat,1595030400000,5461,59,2174,31,190,2,3097,3.4792162607581028,39.80955868888482,4909,8834
17,4944,Jawa Barat,1595116800000,5548,87,2272,98,190,0,3086,3.4246575342465753,40.951694304253785,4944,8869
18,4979,Jawa Barat,1595203200000,5548,0,2272,0,190,0,3086,3.4246575342465753,40.951694304253785,4979,8904
19,5014,Jawa Barat,1595289600000,5659,111,2349,77,199,9,3111,3.5165223537727512,41.50910054779997,5014,8939
20,5049,Jawa Barat,1595376000000,5741,82,2420,71,203,4,3118,3.5359693433199793,42.15293502874064,5049,8974
21,5084,Jawa Barat,1595462400000,5824,83,2452,32,206,3,3166,3.537087912087912,42.10164835164835,5084,9009
22,5119,Jawa Barat,1595548800000,5915,91,2471,19,206,0,3238,3.4826711749788672,41.77514792899408,5119,9044
23,5154,Jawa Barat,1595635200000,5988,73,2505,34,206,0,3277,3.440213760855043,41.833667334669336,5154,9079
24,5189,Jawa Barat,1595808000000,6039,51,2528,23,206,0,3305,3.4111607882099686,41.86123530385826,5189,9114
25,5224,Jawa Barat,1595894400000,6084,45,2934,406,206,0,2944,3.385930309007232,48.22485207100592,5224,9149
26,5259,Jawa Barat,1596067200000,6461,377,3949,1015,210,4,2302,3.2502708559046587,61.1205695712738,5259,9184
27,5294,Jawa Barat,1596153600000,6532,71,3966,17,210,0,2356,3.2149418248622172,60.71647274954072,5294,9219
28,5294,Jawa Barat,1596326400000,6637,105,3992,26,210,0,2435,3.164080156697303,60.14765707397921,5294,9254
